ko,en
요리주점 영점오,0.5
카티지,COTTAGE
하이홀본 ,High Holborn
블리스,bliss
에이엔에이커피,AnA coffee
미지,MIZI
컨센트릭,CONCENTRIC
오프닛,openeat
카페이모야,cafeimoya
마하세븐,Maha7
에이치디디,HDD
에게,EGHE
아마렐로,amarelo
플레이펜,Playpen
카페가가,cafe gaga
비비큐,bbq
막간,maggan
식스,six
멘,men
엠엠씨,mmc-meal
말랑,mallang
타이프,TYPE
푸에르코 역삼 더시그니처,THE SIGNATURE
터치커피,Touch coffee
버거바이블,Burger Bible
오스테리아 리오,Osteria Leo
우오보,uovo
쥬벤쿠바,Juven Cuba
오유아이,Oui
비비큐,BBQ
프롬헤라스,FROMHERAS
헤븐,HEAVEN
머트리얼,Material
켈리,kelly
에테르',ether'
스윅,Swig
윤스카페,Yoon's cafe
가제,GAZE
마미파이,Mommypie
보그,VOGUE
샐러드 넘버6,salad No.6
더 피자,THE PIZZA
키친 시옥,kitchen shiok
퍼프타운,Puff Town
낫히든플레이스,NOT HIDDEN PLACE
낙타의 부엌,camel's kitchen
달 루프탑,DAL 루프탑
수,SU
문 카페,MOON CAFE
자크,Jacques
후프커피,HOOF COFFEE
프롤라,Frolla
"필,돈","Feel,돈"
밀피,MILFEE
베나레스,BENARES
오젬 인터내셔널,OZEM International
카페미르,Cafe mir
선셋로얄,sunset royal
비14,B14
스타일,Style
일번지,1번지
카페앤제이,CAFE&J
북스피리언스,booksperience
무니,Muni
사케리아 잇콘,SAKERIA-IKKON
주,JU
에이치오븐 앤 파스타,h'_Oven & Pasta
카페 뉴빈스,Cafe new beans
망고,mango
제이제이,JJ
더블체크,Double-check
숯,SOOT
엔드롱,Endlong
비하인드미,behindme
플레이그라운드,PLAYGROUND
맥 플러스,Mac Plus
더,The
뮤즈,MUSE
헤이미쉬,HEIMISH
하이쿠,HAIKU
리꼬,Rico
스테이지비앤씨,STAGE B&C
레옹앤마틸다,Leon&Matilda
더,The
롬곡,Romgok
픽스,FF.IC
알러이,ALOI
지미스 타코,Jimmy's Tacos
줌인,Zoom-in
로코,ROCO
분99,bun99
퀸,Queen
우엑스,wx
레알몬스터,Real Monster
지알브이,GRV
비라운지,B.Lounge
미티,Meaty
에이프릴 21,April21
딥블루레이크,DEEP BLUE LAKE
피제리아이고,Pizzeria EGO
피앤지,P&G
램스빌,Lambs vill
케이지365,KAGE365
피자익스프레스,Pizza Express
오뇽,oignon
에스칠공팔공,S7080
미친닭,michindak
알에비뉴,R’AVENUE
블랑커피,Blanc Coffee
맥켄지,MACKENZIE
엑소엑소,XOXO
젠틀키친,Gentle Kitchen
인,iN
디제이,DJ
비볼리,Vivoli
카페인홀릭,CAFE IN HOLIC
유,YOU
레이브에스프레소바,rave espresso bar
피에트라,pietra
겟블랙,Get Black
카페엠,cafeM
섭스탠스,SUBSTANCE
언더그라운드,Underground
비스트로큐슈,Bistro kyushu
밥집,Bob's house
빌라더다이닝,Villa The Dining
스테이,STAY
플랜트 연남,PLANT YEONNAM
브레인오프,Brainoff
더컨셉,The Concept
세븐,7
와인어클락,Wine O'clock
마사,MASA
프레스 임프레스,Press Impress
민트판다,MINT PANDA
꽌안다오,Quan An Dao
나인틴먼스,19MONTHS
플랜비,PLAN B
더 머스크,The Musk
타코델리오,Taco Del Rio
왓솁,What a chef
올리앤로렌스,Ollie&Lawrence
쿡디퍼,COOK DEEPER
아우룸,Aurum
5 어클락,5 o'clock
케이피씨,KPC
컵,CUP
옴레스토랑,Om Restaurant
라틴클럽 펠리스,Feliz
그리너프,greenough
쿠바,CUBA
더 로스터리 카페데베르,THE ROASTERY CAFE DES VERTS
더노라,The Nora
제트,Z
스피니치,SPINACH
셀러브레이트,Celebrate
쿡쿡,COOKCOOK
일쩜오플로어커피,1.5 Floor
동신,"al, thing and kitchen"
밀리언,MILLION
케이,K
아지트,Agit
배스킨라빈스 브라운,BROWN
파크 애비뉴,Park Avenue
구떼라이제,Gute Reise
영카츠,YOUNGKATSU
카페512,cafe512
아지트,Azit
더스트카멜,Durst kamel
팔로피자,Falopizza
스탠,STAN
아크틱(ar,c)tic
투엔디 하우스,2ND HOUSE
카페 피카,FIKA
커피 미나,Coffee Mina
에프시,FC
이스탄불그릴,ISTANBUL GRILL
더라사라,THE RASARA
로로일레븐,RORO11
더,The
안식,Ansic
쿠라,KURA
루틸,Rutile
잼잼칩스,Jam Jam Chips
삼육구,369
이피,EP
더 씨,The Sea
사우스,SOUTH
블루쿠치나,Blu cucina
벨라 엠,Bella M
일삼일구,1319
기호,KIHO
홍대예티,Hongdae Yetti
여미,YEOMI
도피,dopy
키오스크,Kiosque
마하,Maja
비에이치씨치킨,BHC
말랑코지(,Malang Cozy
쏘로,SSORO
메모리아,memoria
카페 스탠포드,Cafe Stanford
라뽀즈,LaPause
쉬즈베이글,SHE's BAGEL
삼씨오화,3C5花
럭키드림,Lucky Dream
럭키드림,Lucky Dream
밥,B.O.B
트라고,Trago
로즈,Rose
베라,VERA
비,BE
로프트 84,LOFT 84
스파카 나폴리,Spacca Napoli
투디어,ToDear
피,P
아우라,AURA
지,G
브루하임,BREWHEIM
빈브라더스,BEAN BROTHERS
헤이쿡,Hey kook
타일,TILE
써니가든,SunnyGarden
플라스틱파크,plastik park
몬스터케이브,Monster Cave
누데이크,NUDAKE
하숙,HASOOK
슈웁,SHOOP
에디슨치킨,EDISON
소코아,SOKOA
라마노,La MANO
지.지,G.G
캐리어바웃,carry about
씨카페,c'cafe
파티오,PATIO
슈퍼커피,Super Coffee
케이트앤케이크,KATENCAKE
도프커피,DOPE COFFEE
이반추얼리,EVENTUALLY
샹그릴라,Shangrila
로그아웃,Log out
코지,COZY
킥쇼,KICKSHAW
퍼밀,Permil
테일러바,Tailor Bar
더캐스크,The Cask
케이트렌디까페,cafe
인그레이,IN GRAY
라비앙로즈,La vie en rose
에프스토리시즌투,F-Story#2
이티시점커피앤칼라스,etc.coffee&colors
뚜깡,Tucan
카멜로연남,CAMELLO
네오베네하우스,Neo Bene haus
신스,Shins
카페허쉬드,CafeHushed
버켓크랩,Bucket Crabs
피오,Fee5
플래닛,planet
티플러,Tippler
비로소커피,BIROSO COFFEE
요!원,YO! ONE
이빠네마그릴,Ipanema Grill
혜원출판사,1984
튜토리얼,TUTORIAL
스튜디오 얌얌,Studio Yum Yum
글렌,GLEN
트랙,track
비,B
턴테이블,TURNTABLE
모투누이,MotuNui
니트,Neat
컴포즈커피 마포공덕점,Composecoffee 마포공덕점
파이브밥도화점,Five Bob Dowha
알척,Al Choc
로프커피,LOAF COFFEE
카페 위,cafe we
뉴페이스,NewFace
컨벤션 센터,Convention Center
아지타,AGITA
브루브로스커피,BREWBROSCOFFEE
아이테르,Aether
보스톤,BOSTON
비비큐,BBQ
문스타파,Moon's Tapa
파네트,panet
퍼플문,purple moon
비에이치씨,BHC
커피다,Coffee DA
아바,ABBA
춘리,CHUN-LI
밀크커피,MILK COFFEE
나도주스,NADO Juice
샤또고래,chateau gorae
준스,JOONS
탄두르,TANDOOR
오,5
브라운 블룸,Brown bloom
스페셜 던스,SPECIAL DUNCE
버터밀크,BUTTER MILK
돞,DOPE
케이엠 푸드,KM FOOD
삼백육십오,365
그루브,Groove
손과얼굴,hand and face
엘비스텍,EL bistec
엠브이케이,MVK
아이엠어바텐더,I AM A BARTENDER
엠피와이제이,MPYJ
파 비욘더 쌈,FAR BEYOND THE SSAM
심플리타이합정점,SIMPLY THAI
치즈밥있슈,issue
트랙쓰리,Track-03
라라라 아일랜드,LALALA ISLAND
샤인,Shine
콜린,colline
비에이치씨,bhc
캉골,KANGOL
마녀찜닭,WICKED JJIMDAK
마포나루,1호점
희희,heehee
브론시스,BRONSIS
김만수키친,Kim Man Su Kitchen
커피아람빈스,Coffee Aram beans
랑빠스 81 ,Limpasse 81
오십픽,50 PICK
로파이,LO-FI
더6회,The 6회
비보,BIVO
헤이주드바,HEY JUDE BAR
살로또상수,Salotto Sangsu
세르베자,CERVEZA
비에이치씨 공덕점 ,BHC 공덕점
디오십일,D51
후차이,HUCAI
다락투,2
칠프로,7%
아우라,AURA
헤븐리모먼츠,Heavenly Moments
오비베어,OB베어
더크래프트,TheCraft
메이비,May-B
팔백팔호,808호
칼라스커피,KALAS COFFEE
램스애비뉴,Lambs Avenue
릴린,LILIN
피자 네버 슬립스 PIZZA NEVER SLEEPS,PNS
쑥짜이,sookjai
비에이치씨,BHC
낭만오지,Oz
태힐리아,TAEHILIA
신라스테이마포카페,Cafe
수퍼,SOUPER
어게인 리프레쉬,A gain Refresh
길리건스,gillgans
지오반니새우트럭,GIOVANNIORIGINALWHITESHRIMPTRUCK
해피벤처,happyventure
다비다 빈,Tabi Tha Bean
콜린스커피,Collins Coffee
라이프 어버브 올 커피,LIFE above all coffee
모데시,MODECI
노이즈베이스먼트,nb
밤,BaaM
화룡초두부,1호점
니니네 ,NNYNNYNE
무디,Moody
카페그라우,CAFE GRAU
칠리,chilli
위드브레드,WITH BREAD
피디포차,PD포차
토토,TOTO
한,HAN
레코즈커피,Rekoz Coffee
쿠쿠,CooCoo
비에니,Vieni
태번89,Tavern 89
양송이식당,mushroom kitchen
플레이트946,PLATE946
도그.마,Dog.ma
미트라운지,MEATLounge
에스아이피,SIP
앤틱카페라헨느,La Reine
멕시코식당,Mexicodiner
사루카메,SARUKAME
테이스테이,Teistay
더피자보이즈,The Pizza Boyz
할리비어,Holy beer
오이도,52nd Street
마실,Masil
챠오,Ciao
더블루스,the Blues
하이오비,HIOB
노이즈베이스먼트투,nb2
베니르,Venir
릴리즈바,Lilys Bar
밥스,Bob's
아미,amie
어반플랜트,UrbanPlant
벨로스테이,Bello Stay
펍,pub
어거스트치킨,August Chicken
오즈,OZ
하바네로,Habanero
스위트가든 뽀아르,sweetgarden poire
아틀란티스,ATLANTIS
졸타,ZOLTAR
고기불패,1988
카페여유,cafe YeoU
트래피 커피,Trappy Coffee
티12,T12
아이헤이트어니언,I HATE ONION
이칠삼,273
아난타라,Anantara
바노네임,Bar No-Name
벌트,Vurt
앤,ENN
힐링톡스,HealingTalks
홍대놀이터,playground
비에이치씨,BHC창전서강점
삼십삼유콘,33YUKON
나스 커피,Na's Coffee
오우,OU
블랙 서커스,BLACK CIRCUS
야마뜨,Yec'hed Mat
온실,onsil
웰컴투더헬,Welcome to the hell
스테이빈,stay bean
더,The
프렌,FREN
수,soo
카페포유,cafe4u
문,MOON
안티플랜,ANTIPLAN
루나제이커피,LUNAJ COFFEE
카페릿체,Caffe Ritche
통로,Thonglo
포트캔커피,PORT CAN COFFEE
옥산,OKSAN
그림,Greem
헤이쥬,HeyJoo
카페드림뷰,Cafe Dreamview
헤이데이,heyday
투도우,2DOUGH
케어프리,care free
풀문,Full moon
마틸다,Matilda
하이버,HIVER
더블유,W
무자커피,MUJA COFFEE
쎄쎄종 by 마담비,cette saison by madamB
랩 오아시스,Lab Oasis
스태픽스,staff picks
카키스터프,khakistuff
오아시스,OASIS
구드마리,Gout de Marie
리쌍차이나,LeeSSangChina
비터스,Bitters
두앤두,Doux&Doux
두앤두,Doux&Doux
베이직커피,Basic COFFEE
스윗츄,sweetu
라밥,LABAB
커피디지,coffeeDZ
케이에프씨,KFC
테이퍼드커피 ,Tapered coffee
일구칠칠,1977
실버레인,Silver Rain
엠엔에이,MNA
버텍스,VERTEX
블로굿,blogood
카야커피랩,CHAYAH coffee lab
인바운드,inbound
요아케,yoake
루즈페퍼,Rouge Pepper
춘삼,CHOON SAM
허스,Heo's
리얼파스타,Realpasta
다이아 바,DIY BAR
노 비어 노 라이프 구파발,NO BEER NO LIFE GUPABAL
무드피크,mood peak
우쿡,Woo cook
졔졔메킷,Jyejyemakit
톡스,Talks
유어스베이크샵,YOURS BAKE SHOP
라퓸,La Fumee
록키,LOG KEY
파이팬,Piepan
선데이 에프터눈 스윔,sunday afternoon swim
패티 바이번,PATTY X BUN
웻핑거 치즈스테이크,wet finger cheese steak
카페 뷔뷔에스,Cafe VVS
낫낫커피,notnot Coffee
디프,Diff
아리스타 선유도점,ARISTA COFFEE
피자위시,Pizza Wish
판코네,PANCONE
그래피카 ,grafika
에이티엠,ATM
마바,MaVa
베키아에누보 강남 퍼스트다이아몬드라운지,10층
데케드,dekad
엣더모먼트,At the moment
베베빗,bebebit
피아이티씨,PITC
인,in
쎄이종,Saison
포도젝트,PODOJECT
플라잉키친,Flying Kitchen
몽슈와,mon choix
루,Roux
노들펍,Nodeul Pub
히말라야프레소,Himalaya presso
티디씨,thursday drink club
지니,genie
아임프릇티,I`M FRUTTY
프라이빗,private
프레쉬 복스,Fresh Vox
피아나72 ,PIANA72
리윤 시라키,Silaki
모처,moture
도민까페,DOMINCAFE
라이스 보울 파크,RICE BOWL PARK
도부,Dobu
파코,Paco
마이 리틀 마운틴,my little mountain
트릴토리,TRILTORI
스윗슬로우,sweetslow
조에,joie
투겟허,To get her
더 베러,The better
블링크,blink
애비뉴428,Avenue428
레타주,L'Etage
오아오아,oaoa
논키,NONKI
발리,Bali
이상한 나라 비비,Bb
샌드문래,sand mullae
도로시돈암,Dorocy
클립커피,CLIP COFFEE
커밍위드커피,coming with coffee
피카 피카,Pica Pica
스몰치즈박스,Smail Cheese Box
쿠마커피,KUMA Coffee
카페 로쏘,cafe rosso
르모브,LEMAUVE
2도 라운지,2Do lounge
쎕,Cepe
탭,TAB
온프,onf
스시위크,SUSHIWEEK
그릭잇,Greek it
시연,SIYEON
로니,R:ONi
팬,Fan
탐파,Tampa
하우스쿡,House Kooc
카페 랩,Cafe LAB
쓰리오벌 스토어,3oval store
삼층 카페,3F cafe
오크라,OKRA
호누커피,Honu Coffee
카페위미,cafe WEME
제이앤로즈 비비큐,J&Rod's BBQ
라쿠나,LACUNA
끌라시끄,Classique
그라티아,GRATIA
하이키,Hiky
클링크,Clink
점보씨푸드 IFC몰점,JUMBO SEA FOOD IFC몰점
그릭샐러드,Greek Salad
스윗브릿지,SWEET BRIDGE
피크닉앤,Picnic&
덴,Den
오어 오디너리 커피 로스터스,or ordinary coffee roasters
카츠메종,KATSU MAISON
스웰러,sweller
윈 파스타,wynn pasta
퍼윜,per week
더 로투스,The lotus
콤포타블,Komfortabel
산도스,SANDOS
케이크케이크,K′크 CAKE
푼,P00N
블랙 카페,Black Cafe
더티덕,Dirtydog
노보카인,NOVOCAINE
윤멘,YOONMEN
투게더,twogether
야끼도리,YAKITORI
타이프,TYPE
코드,CODD
그릭이크,greekEEK
웰돈,welldone
파스티피쵸.트레비아,pastificio.trevia
안티카 트라토리아,ANTICA TRATTORIA
에스포인카프,S.caf
유별나,You
얌얌하우스,YumYum House
에이치쓰리 컴퍼니,H³ company
에스.커피,S.Coffee
우디,woody
그라운드 비,GROUND B
그늘,gnl
윈윈,Win Win
셀렉커피랩,SELECT
피쉬아워,FISHHOUR
줄리,JULIE
오티디 서울 ,OTD SEOUL
보일링쉬림프성수66에스티,st
라이트잇,LIGHT EAT
커피주,COFFEE JU
오르트,oort
해엠관,HEM QUAN
그라운드.8,GROUND.8
카페 몬지,Caffe Mongi 
데시데,DECIDE
도글로리,Doglory
카페쿠피,cafe cuffee
오드하우스,ODDHAUS
벨 구스토,BEL GUSTO
블락99,Block99
죠니 라멘,Jhonny Ramen
더니브라운,Derny Brown
청담그리에,GRee E
비와이오비,BYOB
킹케밥,KINGKEBAB
로디,Roadie
오퍼,offer
카페 코그.,CAFE COGG.
부르,Burr
츄스,choose
피리어드,period
서브28에이치,SUB28H
롱브르 378 ,lombre 378
엘 살루드,el salud
만감,ManGam
메이비블루,MAYBEBLUE
테디스러브,Teddy's Love
에이피피피,APPP
온잇,onit
카페 드 래빗,Cafe de rabbit
라 케이브 래빗,Ra cave rabbit
르메드,REMEDE
꺄넬,Cannelle
냐피,NYAPI
카페&바 yy,cafe&bar yy
웨이프,WAYP
플롭,PLOP
네이버스,neighbours
라비타3,La vita3
더휴일,The hueil
퍼프타운,Puff Town
느와 드 느와,Noir DE Noir
호아,HOA
노스팅커,Nostinker
물루,MULU
모노스,monos
이오엠,eom
삼공이오,3025
핌트,Pymt
부에노63 ,BUENO63
엑스프레소 커피,Xpresso Koffee
더커피마켓13,The coffe market13
피즈,Fizz
라셰즈,RACHEZ
노이,N0I
카페 루틴,cafe routine
모어베지샐러드,More Vege Salad
꼼므크리제,Comme Chrije
에이셉피자 송파점,ASAP PIZZA
야콧,JAKOT
까페,CEO BAR
,
카페인팩토리4,Kaffeine Factory4
쿠키즈위크,COOKIE'S WEEK
도킹,Docking
,
켈리,Kelly
에이치팝업,h'_POPUP
필요,FEELYO
쌉,SAAP
퀴드,QUID
엑쏘엑쏘 샐러드,XOXO SALAD
비 메이저,B Major
리스,LEES
라아,Raah
디오브닝,D Ovening
베트남쌀국수,PHO' DUY LINH
일리브로,IL LIBRO
술로슬로우,SULLOSLOW
엔에이 일공일,NA101
시그니쳐 키친,SIGNATURE KITCHEN
필로프,Pilope
어니언,onion
레스토랑꼬로,RESTAURANT Coro
비비큐치킨 방학역점,BBQ치킨 방학역점
오루베,Orube
팬케이크샵커피,PANCAKESHOP coffee
타코15,TACO15
스페이스,SPACE
도산이국,EE GUK
프리즘,FREESM
일분일초,1m1s
우즈,WOOZ
마포에이트,MAPO 8
어썸커피,Awesome coffee
파브릭,FABRIK
셰프정현,chef. Junghyun
플랜티카,Plantica
레스토랑 부아쟁,RESTAURANT VOISIN
바 부아쟁,BAR VOISIN
라운지 앤 데크,LOUNGE & DECK
랫댓,Rat that
오아시,oasi
아로이타이,A-ROI Thai
비에이치씨,BHC
밀탑,MEALTOP
덮밥·킹,King
레이스,RACE
캐노피,canopy
슬로미,slome
리프팜,livfarm
코호,COHO
졸리&몰트,Jolly&malt
유주얼 하우스,usual house
노알,NO-R
퍼블릭가든,Public Garden
코사트,Co.Sat
도제,DOSE
코레아노스 타코바,Coreanos Taco Bar
지에스,25
마씨,massi
본,Von
칠칠칠,chill chill chill
코스,cos
카페 프라간시아,Cafe fragancia
카페 아이미마인,cafe imemine
마그마,magma
헬로인디아,Hello india
줄라이식스틴,July16th
코브라파스타클럽,COBRA PASTA CLUB
빈칸,BEAN KHAN
메모리,memory
미드나잇플레져,Midnight pleasure
아인,AHIN
화동2,HWA DONG2
야카모즈,yacamoz
솔트코크4월5일,saltcoke by 4월5일
킴스맘,kim's mom
벨로주,VELOSO
비스트로주라,Bistro Jura
더치폴,DutchPole
카페린,Cafe Rin
하늘정원,Jardin Cielo
이바머스 커피,IBAMUS COFFEE
타오,TAO
디파이브,D5
씨152,C152
몰토베네,MOLTO BENE
류,RYU
빠울프,Bar Wolf
부페트발라,Buffet Bala
오더,Order
아이노테이블,Aino table
세인,SAIN
러드웨이브,Rud wave
페더,feather
세미콜론,SEMICOLON
어송포유,A song for you
콩카페 연남점,CONG CAPHE
시키카츠,sikiKATSU
썬라이트,SUNLIGHT
티움,Tium
아크스테이션,ARK station
라셀렉시옹,La selection
레이 키친,Ray Kitchen
카이화,Kai 火
로파이,LO-FI
까페오,Cafe OH
베란다,VERANDA
별등심 블랙,BLACK
브랜뉴,BRAND NU
주)멜로우시티 1st ,Mellow City
어반테라스,Urban Terrace
다이스라떼,DCC카페
디어테이블,DEAR TABLE
넘버원,No.1
아지트,Agit
팔팔일공리스트레토,8810 RISTRETTO
아마,AMA
에스,S
클링크,CLINK
부엌,Boouk
비에이치씨,BHC
비어펍,BEER PUB
보보,BOBO
포,PHO
디퍼,deeper
벨루가,veluga
펄스,pers
폭시스,Foxes
하프플로어,Half floor
서울소사이어티클럽,Seoul Society Club
더,The
팔칠,87`
코하루,KOHARU
블런트,BLUNT
더 멜로우,The mellow
비에이치씨치킨,BHC치킨
쿠킹 몬스터,Cooking Monster
코하루야,koharuya
사보타지,SABOTAGE
다스 이스트 프로밧.,das ist PROBAT.
지디버거앤펍,GD BURGER&PUB
비에이치씨치킨 회기점,bhc치킨
르안타이,Reuan thai
어반 쓰리에이엠,urban 3 a.m
누메아커피바,Noumea Coffee Bar
란콰이진,LanKwaiJin
커리146,CURRY146
오,O
리쏘네,Lissone
르팔러,Le parlour
씨스루,C.THROUGH
붐바,boomba
디벙크,deBunk
"헤이,쥬드","Hey, Jude"
씨씨씨피,CCCP
허머스 마켓,HUMMUS MARKET
앤디스커피,Andys coffee
라오,LAO
오스테리아 오라,osteria ora
왼,when
셀러리,SELLERLEE
마크스,Marks
오프모먼트,Off Moment
트랙26,track26
뉴플로우,New flow
미에우,MIEU
실크로드푸드,Silk Road Food
마핑파,MAPINGPA
유니르,Unir
벌스투,VERSEⅡ
존앤슨피자펍,John & Son Pizza Pub
크루이프14,KRUIJFF14
크레이저,C.Razer
카페아레테,Cafe Arete
듄,dune
쉘터,SHELTER
,
더푸드랩,THE Food LAB
페르비타,PERVITA
해시태그163 ,HASHTAG163
더푸드인시티뷔페,The food in city Buffet
야만,Yaman
비에이치씨,bhc
육오공,650
풔니스,Furnace
베이스크림,Base cream
삼십칠점오,37.5
하이네스,highness
코발트 무드,Cobalt Mood
미쓰포,MISS Pho
바리스타,barista
프린지그룹,fringe group
프런트데스크,FRONT DESK
브릿지,BRIDGE
어반루프,UrbanRoof
넌메인스트리머스,nonmainstreamers
우주,WOOZOO
까사더프타운,CASADUFFTOWN
오다,VENEZ
얼레이,alley
빅터스버거,VICTOR'S BURGER
몰타르,MORTAR
포프,FOFE
그라인드 커피,grind coffee
보리스,BORIS
90카츠,KATSU
홈,HOME
카페이루,cafe IRU
차이,chai
사라스,SARAHS
버건디,burgundy
칙피스,chickpeace
힙스터,hipster
카페 다르크,Cafe d'Arc
까미노 데 남영,Camino De Namyoung
르방,Le vin
베버샵,Bever Shop
모모모,MoMoMo
어니언,onion
에이치쥐브이,HGV
백주년,100주년
오듀몽듀,Oh dieu Mon dieu
에보니 앤 아이보리,Ebony & Ivory
올카,ORCAA
갓잇,GODEAT
마이클 바이 해비치,Michael's by HAEVICHI
지,G
메그놀리아,MAGNOLIA
움프,Oomph
로얄싸롱,Royal Saloon
레인포레스트,RainForest
카페폰스,cafefons
레스토랑 에빗,EVETT
정상에프앤비,F&B
인더카페,in the
옐로우테라스22,YELLOW TERRACE 22
무너미,munumi
더,the
카페 에이든,Cafe Aiden
씨즐 ,SIZZLE
잼,JAM
자파브루어리,JAFA Brewery
피자시즌,PIZZA SEASON
아스론가,Ars Longa
비에또,beato
오펠레,O' fele
솝쉐이크,SoapShake
토브,tob
베이지크,Basique
팬시,ffanci
카페 엔비템 ,Cafe ENVITEM
호파스타생면파스타건대본점,HO PASTA
포인트 프레드릭,Point Frederick
일레븐엘레펀트,eleven elephant
온도차,ONDOCHA
비에이치씨,BHC
핏제리아 파르코,Pizzeria Parco
쨈,jam
프로티너,PROTEINER
킵,KEEP
카페 드마레,cafe de Marais
파파스,papa's
파파스,papa's
프리마클라쎄카페,PRIMACLASSE CAFE
하이츠,HEIGHTS
어반박스,Urbanbox
일구팔구,1989
코드,Code
비지트,Bisit
비비큐,BBQ
카페일마지오 본그룹본사점,IL MAZZIO
높,NOF
헤런(,Heron
브릴란테,Brillante
오피셜커피,official coffee
7블럭,7Block
선유슬로우,sunu.slow
슬로우스테디클럽,Slow steady club
레드브릭 영등포,RDBK
에그드랍 문래GS타워점,EGG DROP
오핀,OPIN CAFE
아분드,avund
포에잇커피,4eight coffee
비비큐,BBQ
공사공삼,0403
위드플레이스,with PLACE
하파,"Ha, PA"
댐굳서울,DAMN GOOD SEOUL
에브리데이해피벌스데이,Everyday Happy Birthday
르타리,LETARI
카페595,Cafe595
제스트,ZEST
홍스커피,HONG's COFFEE
비비큐,BBQ
그레이트,great
네스팅,NESTING
베리빈,VERY BEAN
비비큐,BBQ
카페,Cafe
오니,ONI
백스트릿나인,Backstreet 9
브이오디 스위트,VOD SUITE
하두스 살롱뒤뱅,HADOO'S SALON DU VIN
앤드제이,and.J
옐로우 쿡,yellow cook
티에스오피,TSOP 마곡점
반미진,BANH MI JIN
오백오호,Bar505
프린세스,PRINCESS
에스앤엘,S&L
퓨얼,FUEL
몰리,Molly
레트로 스펙터,Retro Spector
까레트,Carette
라온,LAON
패멩,fait main
삼원샏,SAMONESEC
커피컵,Coffee Cup
루트184,ROUTE184
47바,47Bar
오이사,524
춘리,CHUN-LI
쿠스,Kuos
언껀,ANCAN
비비큐,BBQ
비비큐,BBQ
카페 이티씨. ,cafe Etc.
또아,TTOA
카페,cafe
비비큐,BBQ
버거100,BURGER100
쓰리에프,3F
카페002,CAFE_002
포프트커피,FoFt coffee
칼라바르셀로나,Color Barcelona
카페 프루스트,Cafe Proust
올라나뚜랄,Hola natural
제너릭,Zeneric
밀크플리즈,Milk Please
웨이브앤샌드,WAVE&SAND
샐러드 앳 프레임,Salad @ FRAME
푸라벨,Food-life balance
오엔엘,ONL
비비큐,BBQ
슬로우먼데이,Slow Monday
더블리스,the bliss
던,DAWN
커피아미코,Coffee Amico
비비큐,BBQ
미스토,MISTO
영쩜오,0.5
로드하우스,ROADHOUSE
케이엠지엠 펍,KMGM PUB
그리스마스,Greecemas
앤디관,ENDY QUAN
니꾸킹 버거,NIKU KING BURGER
네가,NEGA
보카,boca
에프와이아이,FYI
카페 드 나인플렉스,CAFE DE NINEPLEX
달리아,dahlia
누데이크,NUDAKE
버거 페어리,Burger Fairy
플릭,fleek
바나나,varnana
오알피하우스,O.R.P HOUSE
피비앤제이,PBNJ
세스타,CESTA
캔고투건대점,can go to
베티버,vetiver
두두두,DoDoDo
페이브 테이블,fave table
돌핀 스토리,Dolphin Story
온오프,ONOFF
27바,Bar
셀럽드 샐러드,celeb de salad
보사우러스,Bosaurus
디어모먼트,Dearmoment
카페 오르모어,Cafe ormore
알투씨,r2c
비비큐,BBQ)(도봉역점
오쏘,OSO
공그릭,gonggreek
몽키래빗,monkey rabbit
566라멘,566RAMEN
씨브이엘 랩,CVL lab
카페앤바72,Cafe&Bar72
킴리,Kim·Lee
온더모먼트,On the moment
릴 에프앤비,RYL F&B
제이에스라운지,JS Lounge
락소울윙,ROCK SOUL WING
아우어쥬빌리,ourjubilee
음오아에,umoae
그녀의 커피 : 카페드 엘르,cafe delle
아이겐 커피,EIGEN COFFEE
스윗와인앤커피,sweet wine & coffee
위,Wee
두두,DEUXDEUX
맵땡비스트로,Bistro
커핑마스터,CUPPING MASTER
아우어룸,our room
텔라네,tellane
케이엠지엠,KMGM
카페힐,CAFE HILL
자메뷰 커피브루어스,Jamais vu coffee brewers
샌디비치,Sandy Beach
마리포사 & M29,MARIPOSA & M29
스펙트럼,SPECTRUM
더 아트리움 라운지,THE ATRIUM LOUNGE
에이쓰리카페,A3 CAFE
멜브라운 더 프리미엄,MelBrown the premium
베가본즈,Vagabonds
위베이크러브,We bake love
디어달리아,Dear Dahlia
베짜,VEZZA
어니언,onion
센드미,Send me
지알,GR
춘리마라탕,CHUN-LI
시오,SIIO
호호야,hohoya
퀸테트,Quintette
777.7스페이스,SPACE
랄라보울,LALA BOWL
스탑사인,Stopsign
더 웨이브,THE WAV.
코지덤즈,cozydomz
카페블로썸,Cafe Blossom
오코노미야키골드,OKONOMIYAKI GOLD
비야 톨레도,VIA TOLEDO
플루프커피,Plouf coffee
제이하우스,Jhouse
콤포타블 커피,Komfortabel COFFEE
타이니커피 브루잉스튜디오,Tiny Coffee Brewing Studio
버거스태인,BURGER'S TAEIN
루카,LUKA
3노트커피,3 note Coffee
드시오,Decio
톡,tok
밀풀,meal full
배드룸,BADROOM
수하어스,SUHAUS
지퍼,Zipper
사우,sau
카페 럭키바,Lucky bar
트릴로지,Trilogy
타코닷,TACO DOT
메종 드 리아,Maison de Lia
어셈블,Assemble
케이엠지엠,KMGM
오리 베이커리,ORI BAKERY
햄서울,HAM
그릭앤바이츠,Greek&Bites
코너 스토어,CORNER STORE
힉,hick
