"행정구역","2021년_거주자 인구수","2021년_세대수","2021년_남자 인구수","2021년_여자 인구수"
"인천광역시 중구 도원동(2811056000)","3,882","2,039","1,982","1,900"
"인천광역시 중구 율목동(2811057000)","3,142","1,776","1,614","1,528"
"인천광역시 중구 동인천동(2811058500)","5,690","3,315","3,008","2,682"
"인천광역시 중구 개항동(2811061500)","6,934","3,574","3,473","3,461"
"인천광역시 중구 영종동(2811062000)","18,979","9,995","10,370","8,609"
"인천광역시 중구 영종1동(2811062200)","43,831","16,712","22,014","21,817"
"인천광역시 중구 운서동(2811062800)","31,898","18,035","16,904","14,994"
"인천광역시 중구 용유동(2811063000)","3,912","2,569","2,176","1,736"
"인천광역시 중구영종출장소 (2811400000)","0","0","0","0"
"인천광역시 중구용유출장소 (2811800000)","0","0","0","0"
"인천광역시 동구 (2814000000)","60,895","28,206","30,686","30,209"
"인천광역시 동구 만석동(2814051000)","6,890","3,190","3,557","3,333"
"인천광역시 동구 화수1.화평동(2814052500)","5,880","2,804","2,993","2,887"
"인천광역시 동구 화수2동(2814053000)","7,539","3,683","3,699","3,840"
"인천광역시 동구 송현1.2동(2814055500)","10,338","4,398","5,058","5,280"
"인천광역시 동구 송현3동(2814057000)","3,527","1,908","1,826","1,701"
"인천광역시 동구 송림1동(2814058000)","1,549","676","758","791"
"인천광역시 동구 송림2동(2814059000)","2,678","1,513","1,382","1,296"
"인천광역시 동구 송림3.5동(2814060500)","7,359","3,368","3,750","3,609"
"인천광역시 동구 송림4동(2814061000)","6,113","2,565","3,164","2,949"
"인천광역시 동구 송림6동(2814063000)","6,164","2,605","3,079","3,085"
"인천광역시 동구 금창동(2814064000)","2,858","1,496","1,420","1,438"
"인천광역시 미추홀구 (2817700000)","403,593","190,282","203,088","200,505"
"인천광역시 미추홀구 숭의2동(2817751000)","14,601","6,905","7,347","7,254"
"인천광역시 미추홀구 숭의1.3동(2817752000)","13,713","6,650","6,828","6,885"
"인천광역시 미추홀구 숭의4동(2817753000)","16,234","7,735","8,151","8,083"
"인천광역시 미추홀구 용현1.4동(2817754000)","17,091","10,237","9,320","7,771"
"인천광역시 미추홀구 용현2동(2817755000)","17,741","8,342","8,888","8,853"
"인천광역시 미추홀구 용현3동(2817756000)","7,557","4,340","4,005","3,552"
"인천광역시 미추홀구 용현5동(2817757000)","47,434","19,973","23,504","23,930"
"인천광역시 미추홀구 학익1동(2817758000)","31,921","12,771","15,890","16,031"
"인천광역시 미추홀구 학익2동(2817759000)","18,116","7,956","8,871","9,245"
"인천광역시 미추홀구 도화1동(2817760000)","23,053","11,002","11,508","11,545"
"인천광역시 미추홀구 도화2.3동(2817761000)","32,744","14,348","16,637","16,107"
"인천광역시 미추홀구 주안1동(2817762000)","20,204","11,629","10,568","9,636"
"인천광역시 미추홀구 주안2동(2817763000)","16,585","8,267","8,338","8,247"
"인천광역시 미추홀구 주안3동(2817764000)","8,663","4,386","4,402","4,261"
"인천광역시 미추홀구 주안4동(2817765000)","13,292","6,906","6,635","6,657"
"인천광역시 미추홀구 주안5동(2817766000)","20,486","10,049","10,255","10,231"
"인천광역시 미추홀구 주안6동(2817767000)","21,825","9,983","10,878","10,947"
"인천광역시 미추홀구 주안7동(2817768000)","12,419","5,978","6,040","6,379"
"인천광역시 미추홀구 주안8동(2817769000)","20,871","9,256","10,177","10,694"
"인천광역시 미추홀구 관교동(2817770000)","15,021","6,237","7,330","7,691"
"인천광역시 미추홀구 문학동(2817771000)","14,022","7,332","7,516","6,506"
"인천광역시 연수구 (2818500000)","387,387","154,397","192,232","195,155"
"인천광역시 연수구 옥련1동(2818563000)","19,190","8,180","9,496","9,694"
"인천광역시 연수구 옥련2동(2818564000)","20,227","7,867","9,960","10,267"
"인천광역시 연수구 선학동(2818575000)","16,972","8,036","8,760","8,212"
"인천광역시 연수구 연수1동(2818576100)","19,043","9,503","10,386","8,657"
"인천광역시 연수구 연수2동(2818576200)","20,999","9,756","10,310","10,689"
"인천광역시 연수구 연수3동(2818576300)","16,008","7,386","7,606","8,402"
"인천광역시 연수구 청학동(2818576600)","24,595","12,499","12,758","11,837"
"인천광역시 연수구 동춘1동(2818578000)","25,365","9,241","12,488","12,877"
"인천광역시 연수구 동춘2동(2818579000)","18,249","6,954","8,855","9,394"
"인천광역시 연수구 동춘3동(2818579500)","18,484","5,795","8,993","9,491"
"인천광역시 연수구 송도1동(2818582000)","37,487","14,459","18,365","19,122"
"인천광역시 연수구 송도2동(2818583000)","36,562","11,740","17,960","18,602"
"인천광역시 연수구 송도3동(2818584000)","48,843","18,703","23,951","24,892"
"인천광역시 연수구 송도4동(2818585000)","25,396","9,346","12,564","12,832"
"인천광역시 연수구 송도5동(2818586000)","39,967","14,932","19,780","20,187"
"인천광역시 남동구 (2820000000)","515,102","225,975","255,659","259,443"
"인천광역시 남동구 구월1동(2820051000)","31,260","13,034","15,178","16,082"
"인천광역시 남동구 구월2동(2820052000)","35,297","12,637","17,379","17,918"
"인천광역시 남동구 구월3동(2820052100)","29,829","17,160","14,838","14,991"
"인천광역시 남동구 구월4동(2820052200)","14,493","7,683","7,319","7,174"
"인천광역시 남동구 간석1동(2820053000)","20,985","10,216","10,328","10,657"
"인천광역시 남동구 간석2동(2820054000)","21,783","9,283","10,849","10,934"
"인천광역시 남동구 간석3동(2820055000)","27,314","12,880","13,575","13,739"
"인천광역시 남동구 간석4동(2820055100)","28,872","13,278","14,395","14,477"
"인천광역시 남동구 만수1동(2820056000)","17,021","8,936","8,308","8,713"
"인천광역시 남동구 만수2동(2820057000)","24,163","9,774","11,833","12,330"
"인천광역시 남동구 만수3동(2820058000)","17,590","7,357","8,895","8,695"
"인천광역시 남동구 만수4동(2820058100)","20,932","9,083","10,223","10,709"
"인천광역시 남동구 만수5동(2820058200)","15,185","7,551","7,551","7,634"
"인천광역시 남동구 만수6동(2820058300)","24,206","10,218","11,740","12,466"
"인천광역시 남동구 장수서창동(2820065000)","19,837","7,925","9,877","9,960"
"인천광역시 남동구 서창2동(2820065500)","39,494","15,816","19,619","19,875"
"인천광역시 남동구 남촌도림동(2820066000)","20,981","9,218","10,753","10,228"
"인천광역시 남동구 논현1동(2820069000)","31,866","13,365","16,073","15,793"
"인천광역시 남동구 논현2동(2820070000)","32,764","14,935","16,544","16,220"
"인천광역시 남동구 논현고잔동(2820071000)","41,230","15,626","20,382","20,848"
"인천광역시 부평구 (2823700000)","482,858","210,283","238,146","244,712"
"인천광역시 부평구 부평1동(2823751000)","36,410","16,545","17,500","18,910"
"인천광역시 부평구 부평2동(2823752000)","14,743","7,058","7,337","7,406"
"인천광역시 부평구 부평3동(2823753000)","12,620","6,197","6,282","6,338"
"인천광역시 부평구 부평4동(2823754000)","36,681","18,346","18,084","18,597"
"인천광역시 부평구 부평5동(2823755000)","31,431","15,231","15,454","15,977"
"인천광역시 부평구 부평6동(2823756000)","14,703","7,077","7,246","7,457"
"인천광역시 부평구 산곡1동(2823757000)","11,536","5,331","5,805","5,731"
"인천광역시 부평구 산곡2동(2823758000)","31,065","10,925","15,296","15,769"
"인천광역시 부평구 산곡3동(2823758100)","21,854","8,714","10,600","11,254"
"인천광역시 부평구 산곡4동(2823758200)","17,653","6,600","8,438","9,215"
"인천광역시 부평구 청천1동(2823759100)","6,691","3,274","3,564","3,127"
"인천광역시 부평구 청천2동(2823759200)","35,112","14,458","17,525","17,587"
"인천광역시 부평구 갈산1동(2823764100)","16,459","7,281","8,334","8,125"
"인천광역시 부평구 갈산2동(2823764200)","18,590","8,134","9,026","9,564"
"인천광역시 부평구 삼산1동(2823764600)","33,094","13,816","16,185","16,909"
"인천광역시 부평구 삼산2동(2823764800)","28,722","10,229","13,899","14,823"
"인천광역시 부평구 부개1동(2823765000)","16,042","7,643","8,043","7,999"
"인천광역시 부평구 부개2동(2823766000)","19,932","8,282","9,750","10,182"
"인천광역시 부평구 부개3동(2823766100)","30,617","12,335","14,710","15,907"
"인천광역시 부평구 일신동(2823767000)","12,501","5,177","6,380","6,121"
"인천광역시 부평구 십정1동(2823768000)","13,786","6,250","6,987","6,799"
"인천광역시 부평구 십정2동(2823769000)","22,616","11,380","11,701","10,915"
"인천광역시 계양구 (2824500000)","293,668","126,461","146,168","147,500"
"인천광역시 계양구 효성1동(2824560100)","27,196","11,506","13,637","13,559"
"인천광역시 계양구 효성2동(2824560200)","28,825","11,595","14,576","14,249"
"인천광역시 계양구 계산1동(2824561100)","19,003","9,847","9,990","9,013"
"인천광역시 계양구 계산2동(2824561200)","15,627","7,742","7,763","7,864"
"인천광역시 계양구 계산3동(2824561300)","18,951","8,530","9,066","9,885"
"인천광역시 계양구 계산4동(2824561400)","23,011","9,068","11,601","11,410"
"인천광역시 계양구 작전1동(2824562100)","27,639","11,157","13,536","14,103"
"인천광역시 계양구 작전2동(2824562200)","19,626","8,989","9,683","9,943"
"인천광역시 계양구 작전서운동(2824564000)","34,813","14,071","17,329","17,484"
"인천광역시 계양구 계양1동(2824571000)","20,796","8,517","10,301","10,495"
"인천광역시 계양구 계양2동(2824572000)","32,830","15,474","16,203","16,627"
"인천광역시 계양구 계양3동(2824573000)","25,351","9,965","12,483","12,868"
"인천광역시 서구 (2826000000)","552,432","230,676","278,763","273,669"
"인천광역시 서구 검암경서동(2826051500)","45,284","19,624","23,099","22,185"
"인천광역시 서구 연희동(2826053000)","40,405","18,814","20,559","19,846"
"인천광역시 서구 청라1동(2826053600)","31,407","11,878","15,656","15,751"
"인천광역시 서구 청라2동(2826053700)","48,778","17,986","24,202","24,576"
"인천광역시 서구 청라3동(2826053900)","31,553","11,163","15,625","15,928"
"인천광역시 서구 가정1동(2826054200)","27,860","11,889","13,973","13,887"
"인천광역시 서구 가정2동(2826054300)","6,371","2,938","3,328","3,043"
"인천광역시 서구 가정3동(2826054400)","9,532","4,350","4,775","4,757"
"인천광역시 서구 석남1동(2826055000)","22,144","10,766","11,379","10,765"
"인천광역시 서구 석남2동(2826056000)","12,947","6,162","6,711","6,236"
"인천광역시 서구 석남3동(2826056100)","13,710","6,512","6,944","6,766"
"인천광역시 서구 신현원창동(2826057500)","31,478","12,892","15,718","15,760"
"인천광역시 서구 가좌1동(2826058000)","12,337","6,100","6,558","5,779"
"인천광역시 서구 가좌2동(2826059000)","19,846","7,672","9,670","10,176"
"인천광역시 서구 가좌3동(2826060000)","16,500","7,968","8,391","8,109"
"인천광역시 서구 가좌4동(2826061000)","10,430","4,881","5,397","5,033"
"인천광역시 서구 검단동(2826068000)","32,654","14,555","16,857","15,797"
"인천광역시 서구 불로대곡동(2826069000)","22,444","9,093","11,425","11,019"
"인천광역시 서구 원당동(2826070000)","23,872","9,592","12,075","11,797"
"인천광역시 서구 당하동(2826071000)","27,613","10,735","13,742","13,871"
"인천광역시 서구 오류왕길동(2826072000)","25,448","10,241","12,962","12,486"
"인천광역시 서구 마전동(2826073000)","22,743","8,271","11,203","11,540"
"인천광역시 서구 아라동(2826074000)","17,076","6,594","8,514","8,562"
"인천광역시 서구검단출장소 (2826500000)","0","0","0","0"
"인천광역시 강화군 (2871000000)","69,340","34,416","34,699","34,641"
"인천광역시 강화군 강화읍(2871025000)","22,649","10,539","11,189","11,460"
"인천광역시 강화군 선원면(2871031000)","7,945","3,603","3,953","3,992"
"인천광역시 강화군 불은면(2871032000)","4,903","2,608","2,461","2,442"
"인천광역시 강화군 길상면(2871033000)","7,161","3,582","3,594","3,567"
"인천광역시 강화군 화도면(2871034000)","4,526","2,420","2,294","2,232"
"인천광역시 강화군 양도면(2871035000)","4,287","2,181","2,153","2,134"
"인천광역시 강화군 내가면(2871036000)","3,040","1,642","1,486","1,554"
"인천광역시 강화군 하점면(2871037000)","4,009","2,056","2,052","1,957"
"인천광역시 강화군 양사면(2871038000)","1,868","992","925","943"
"인천광역시 강화군 송해면(2871039000)","3,282","1,658","1,640","1,642"
"인천광역시 강화군 교동면(2871040000)","2,843","1,550","1,470","1,373"
"인천광역시 강화군 삼산면(2871041000)","2,176","1,194","1,134","1,042"
"인천광역시 강화군 서도면(2871042000)","387","220","201","186"
"인천광역시 강화군 서도면볼음출장소(2871042500)","264","171","147","117"
"인천광역시 옹진군 (2872000000)","20,234","11,971","11,531","8,703"
"인천광역시 옹진군 북도면(2872031000)","1,161","662","607","554"
"인천광역시 옹진군 북도면장봉출장소(2872031500)","980","525","521","459"
"인천광역시 옹진군 백령면(2872033000)","4,944","2,903","2,912","2,032"
"인천광역시 옹진군 대청면(2872034000)","1,173","715","672","501"
"인천광역시 옹진군 대청면소청출장소(2872034500)","220","171","137","83"
"인천광역시 옹진군 덕적면(2872035000)","1,883","1,149","1,029","854"
"인천광역시 옹진군 영흥면(2872036000)","6,517","3,639","3,646","2,871"
"인천광역시 옹진군 자월면(2872037000)","945","561","508","437"
"인천광역시 옹진군 자월면이작출장소(2872037500)","373","228","194","179"
"인천광역시 옹진군 연평면(2872038000)","2,038","1,418","1,305","733"
"광주광역시  (2900000000)","1,436,183","641,134","709,872","726,311"
"광주광역시 동구 (2911000000)","102,492","51,612","50,546","51,946"
"광주광역시 동구 충장동(2911052500)","4,551","3,439","2,311","2,240"
"광주광역시 동구 동명동(2911054500)","3,770","2,450","1,922","1,848"
"광주광역시 동구 계림1동(2911056000)","10,904","5,921","5,668","5,236"
"광주광역시 동구 계림2동(2911057000)","9,761","4,106","4,737","5,024"
"광주광역시 동구 산수1동(2911059000)","8,505","4,439","4,268","4,237"
"광주광역시 동구 산수2동(2911060000)","10,460","4,827","5,073","5,387"
"광주광역시 동구 지산1동(2911062000)","4,206","2,392","2,124","2,082"
"광주광역시 동구 지산2동(2911063000)","4,518","2,391","2,314","2,204"
"광주광역시 동구 서남동(2911065500)","2,989","2,167","1,604","1,385"
"광주광역시 동구 학동(2911068500)","7,635","3,544","3,627","4,008"
"광주광역시 동구 학운동(2911071000)","11,370","5,190","5,357","6,013"
"광주광역시 동구 지원1동(2911073000)","7,803","3,626","3,771","4,032"
"광주광역시 동구 지원2동(2911074000)","16,020","7,120","7,770","8,250"
"광주광역시 서구 (2914000000)","290,141","131,875","142,077","148,064"
"광주광역시 서구 양동(2914057500)","3,654","2,093","1,828","1,826"
"광주광역시 서구 양3동(2914059000)","4,547","2,143","2,205","2,342"
"광주광역시 서구 농성1동(2914065000)","10,922","6,136","5,390","5,532"
"광주광역시 서구 농성2동(2914066000)","4,842","2,890","2,534","2,308"
"광주광역시 서구 광천동(2914073000)","7,991","4,152","4,104","3,887"
"광주광역시 서구 유덕동(2914074000)","10,955","4,881","5,588","5,367"
"광주광역시 서구 치평동(2914074500)","30,210","13,542","14,425","15,785"
"광주광역시 서구 상무1동(2914075100)","24,677","12,068","12,331","12,346"
"광주광역시 서구 상무2동(2914075200)","23,724","12,960","11,557","12,167"
"광주광역시 서구 화정1동(2914076000)","15,490","8,454","7,365","8,125"
"광주광역시 서구 화정2동(2914077000)","20,550","7,972","10,280","10,270"
"광주광역시 서구 화정3동(2914078000)","10,024","4,590","4,936","5,088"
"광주광역시 서구 화정4동(2914079000)","15,373","6,470","7,397","7,976"
"광주광역시 서구 서창동(2914080000)","5,762","2,675","2,978","2,784"
"광주광역시 서구 금호1동(2914082100)","19,968","8,782","9,476","10,492"
"광주광역시 서구 금호2동(2914082400)","28,542","10,527","13,956","14,586"
"광주광역시 서구 풍암동(2914083000)","36,676","15,158","18,036","18,640"
"광주광역시 서구 동천동(2914084000)","16,234","6,382","7,691","8,543"
"광주광역시 남구 (2915500000)","214,887","95,173","103,168","111,719"
"광주광역시 남구 양림동(2915551000)","6,991","3,143","3,195","3,796"
"광주광역시 남구 방림1동(2915552000)","6,615","2,909","3,153","3,462"
"광주광역시 남구 방림2동(2915553000)","8,865","4,045","4,184","4,681"
"광주광역시 남구 봉선1동(2915553700)","13,413","6,618","6,277","7,136"
"광주광역시 남구 봉선2동(2915553800)","28,758","9,961","13,446","15,312"
"광주광역시 남구 사직동(2915554500)","5,159","2,912","2,657","2,502"
"광주광역시 남구 월산동(2915560500)","8,781","4,533","4,495","4,286"
"광주광역시 남구 월산4동(2915563000)","8,430","4,737","4,337","4,093"
"광주광역시 남구 월산5동(2915564000)","6,388","3,506","3,184","3,204"
"광주광역시 남구 백운1동(2915567000)","12,173","5,156","5,736","6,437"
"광주광역시 남구 백운2동(2915568000)","6,342","3,307","3,122","3,220"
"광주광역시 남구 주월1동(2915569000)","21,867","9,578","10,572","11,295"
"광주광역시 남구 주월2동(2915570000)","7,984","4,005","3,964","4,020"
"광주광역시 남구 진월동(2915570500)","29,296","11,433","13,652","15,644"
"광주광역시 남구 효덕동(2915571000)","16,122","7,499","7,729","8,393"
"광주광역시 남구 송암동(2915572000)","21,425","8,564","10,354","11,071"
"광주광역시 남구 대촌동(2915573000)","6,278","3,267","3,111","3,167"
"광주광역시 북구 (2917000000)","425,570","194,366","211,037","214,533"
"광주광역시 북구 중흥1동(2917051000)","4,723","2,944","2,441","2,282"
"광주광역시 북구 중흥2동(2917052000)","6,797","3,718","3,461","3,336"
"광주광역시 북구 중흥3동(2917053000)","4,759","2,803","2,502","2,257"
"광주광역시 북구 중앙동(2917055500)","3,029","1,995","1,625","1,404"
"광주광역시 북구 임동(2917057000)","9,115","4,435","4,494","4,621"
"광주광역시 북구 신안동(2917058000)","12,288","7,148","6,458","5,830"
"광주광역시 북구 용봉동(2917059000)","38,398","17,647","19,108","19,290"
"광주광역시 북구 운암1동(2917060100)","19,308","7,410","9,333","9,975"
"광주광역시 북구 운암2동(2917060200)","11,970","6,044","6,023","5,947"
"광주광역시 북구 운암3동(2917060300)","12,617","5,043","6,033","6,584"
"광주광역시 북구 동림동(2917061500)","23,309","9,826","11,461","11,848"
"광주광역시 북구 우산동(2917062000)","10,218","5,579","4,944","5,274"
"광주광역시 북구 풍향동(2917063500)","5,713","2,750","2,851","2,862"
"광주광역시 북구 문화동(2917065000)","20,849","9,675","10,251","10,598"
"광주광역시 북구 문흥1동(2917065600)","15,944","6,451","7,734","8,210"
"광주광역시 북구 문흥2동(2917065700)","15,673","7,317","7,452","8,221"
"광주광역시 북구 두암1동(2917066100)","7,742","3,993","3,852","3,890"
"광주광역시 북구 두암2동(2917066200)","15,973","7,625","7,886","8,087"
"광주광역시 북구 두암3동(2917066300)","13,345","7,765","6,403","6,942"
"광주광역시 북구 삼각동(2917066600)","14,081","6,037","7,244","6,837"
"광주광역시 북구 일곡동(2917066900)","29,894","11,506","14,642","15,252"
"광주광역시 북구 매곡동(2917067300)","13,812","5,466","6,760","7,052"
"광주광역시 북구 오치1동(2917067600)","10,884","5,481","5,514","5,370"
"광주광역시 북구 오치2동(2917067700)","12,479","6,966","6,084","6,395"
"광주광역시 북구 석곡동(2917068500)","2,492","1,374","1,295","1,197"
"광주광역시 북구 건국동(2917069500)","22,346","9,214","11,314","11,032"
"광주광역시 북구 양산동(2917069600)","37,876","16,327","19,028","18,848"
"광주광역시 북구 신용동(2917069700)","29,936","11,827","14,844","15,092"
"광주광역시 광산구 (2920000000)","403,093","168,108","203,044","200,049"
"광주광역시 광산구 송정1동(2920051500)","10,783","4,804","5,483","5,300"
"광주광역시 광산구 송정2동(2920052500)","6,423","3,361","3,211","3,212"
"광주광역시 광산구 도산동(2920054000)","15,234","6,645","7,694","7,540"
"광주광역시 광산구 신흥동(2920055000)","4,575","2,038","2,312","2,263"
"광주광역시 광산구 어룡동(2920056500)","32,955","13,933","16,854","16,101"
"광주광역시 광산구 우산동(2920058000)","28,822","14,628","14,628","14,194"
"광주광역시 광산구 월곡1동(2920060000)","10,831","4,918","5,502","5,329"
"광주광역시 광산구 월곡2동(2920061000)","15,548","6,600","7,821","7,727"
"광주광역시 광산구 비아동(2920062000)","7,448","3,447","3,944","3,504"
"광주광역시 광산구 첨단1동(2920062400)","27,419","10,409","13,611","13,808"
"광주광역시 광산구 첨단2동(2920062600)","43,195","18,323","21,757","21,438"
"광주광역시 광산구 신가동(2920063000)","18,403","6,924","9,328","9,075"
"광주광역시 광산구 운남동(2920063500)","30,815","12,277","15,074","15,741"
"광주광역시 광산구 수완동(2920063700)","77,344","28,218","38,091","39,253"
"광주광역시 광산구 하남동(2920064000)","26,220","10,456","13,514","12,706"
"광주광역시 광산구 임곡동(2920065000)","2,102","1,240","1,081","1,021"
"광주광역시 광산구 동곡동(2920066000)","1,832","1,036","937","895"
"광주광역시 광산구 평동(2920067000)","4,048","2,507","2,255","1,793"
"광주광역시 광산구 삼도동(2920068000)","2,191","1,327","1,143","1,048"
"광주광역시 광산구 본량동(2920069000)","2,003","1,222","1,002","1,001"
"광주광역시 광산구 신창동(2920070000)","34,902","13,795","17,802","17,100"
"대전광역시  (3000000000)","1,445,245","658,726","720,467","724,778"
"대전광역시 동구 (3011000000)","220,978","106,750","111,156","109,822"
"대전광역시 동구 중앙동(3011051500)","4,472","3,058","2,493","1,979"
"대전광역시 동구 효동(3011053000)","24,643","9,573","12,097","12,546"
"대전광역시 동구 신인동(3011054500)","11,944","5,422","5,825","6,119"
"대전광역시 동구 판암1동(3011055100)","12,353","5,876","6,049","6,304"
"대전광역시 동구 판암2동(3011055200)","8,479","5,261","4,122","4,357"
"대전광역시 동구 용운동(3011056000)","21,843","10,211","10,995","10,848"
"대전광역시 동구 대동(3011058500)","14,851","6,353","7,427","7,424"
"대전광역시 동구 자양동(3011059000)","10,583","6,383","5,575","5,008"
"대전광역시 동구 가양1동(3011062000)","13,591","6,896","6,976","6,615"
"대전광역시 동구 가양2동(3011063000)","18,146","8,833","9,090","9,056"
"대전광역시 동구 용전동(3011064000)","20,299","11,270","10,392","9,907"
"대전광역시 동구 성남동(3011066500)","11,895","5,584","5,906","5,989"
"대전광역시 동구 홍도동(3011067000)","10,988","5,746","5,549","5,439"
"대전광역시 동구 삼성동(3011069500)","13,985","6,566","7,104","6,881"
"대전광역시 동구 대청동(3011072500)","2,398","1,250","1,242","1,156"
"대전광역시 동구 산내동(3011074000)","20,508","8,468","10,314","10,194"
"대전광역시 중구 (3014000000)","228,925","106,432","112,644","116,281"
"대전광역시 중구 은행선화동(3014053500)","15,426","9,003","7,892","7,534"
"대전광역시 중구 목동(3014055000)","14,335","4,888","6,861","7,474"
"대전광역시 중구 중촌동(3014056000)","12,466","5,945","6,045","6,421"
"대전광역시 중구 대흥동(3014057500)","13,664","7,442","6,748","6,916"
"대전광역시 중구 문창동(3014060500)","4,643","2,599","2,418","2,225"
"대전광역시 중구 석교동(3014062000)","15,486","7,645","7,786","7,700"
"대전광역시 중구 대사동(3014063000)","5,426","3,219","2,625","2,801"
"대전광역시 중구 부사동(3014064000)","6,700","3,467","3,377","3,323"
"대전광역시 중구 용두동(3014065500)","9,383","5,061","4,535","4,848"
"대전광역시 중구 오류동(3014067000)","10,486","4,913","4,935","5,551"
"대전광역시 중구 태평1동(3014068000)","13,251","5,182","6,420","6,831"
"대전광역시 중구 태평2동(3014069000)","25,527","9,555","12,260","13,267"
"대전광역시 중구 유천1동(3014070000)","6,481","3,592","3,374","3,107"
"대전광역시 중구 유천2동(3014071000)","13,650","6,417","6,751","6,899"
"대전광역시 중구 문화1동(3014072000)","22,307","8,788","10,755","11,552"
"대전광역시 중구 문화2동(3014073000)","12,560","6,051","6,087","6,473"
"대전광역시 중구 산성동(3014074000)","27,134","12,665","13,775","13,359"
"대전광역시 서구 (3017000000)","471,114","211,774","231,404","239,710"
"대전광역시 서구 복수동(3017051000)","22,293","8,739","10,979","11,314"
"대전광역시 서구 도마1동(3017052000)","15,204","8,007","7,703","7,501"
"대전광역시 서구 도마2동(3017053000)","17,212","8,206","8,654","8,558"
"대전광역시 서구 정림동(3017053500)","16,064","6,767","7,814","8,250"
"대전광역시 서구 변동(3017054000)","15,897","7,714","8,075","7,822"
"대전광역시 서구 용문동(3017055000)","12,161","7,052","5,796","6,365"
"대전광역시 서구 탄방동(3017055500)","27,098","14,405","13,005","14,093"
"대전광역시 서구 괴정동(3017056000)","19,025","11,233","9,267","9,758"
"대전광역시 서구 가장동(3017057000)","11,702","5,072","5,689","6,013"
"대전광역시 서구 내동(3017057500)","23,659","9,493","11,305","12,354"
"대전광역시 서구 갈마1동(3017058100)","21,439","11,286","10,926","10,513"
"대전광역시 서구 갈마2동(3017058200)","24,634","13,005","12,296","12,338"
"대전광역시 서구 월평1동(3017058600)","11,101","7,152","5,907","5,194"
"대전광역시 서구 월평2동(3017058700)","14,638","7,146","6,940","7,698"
"대전광역시 서구 월평3동(3017058800)","21,150","7,587","10,389","10,761"
"대전광역시 서구 가수원동(3017059000)","44,154","17,295","21,715","22,439"
"대전광역시 서구 관저1동(3017059600)","15,533","6,493","7,398","8,135"
"대전광역시 서구 관저2동(3017059700)","49,771","19,212","24,291","25,480"
"대전광역시 서구 기성동(3017060000)","3,672","1,942","1,887","1,785"
"대전광역시 서구 둔산1동(3017063000)","16,745","5,752","8,257","8,488"
"대전광역시 서구 둔산2동(3017064000)","35,586","14,345","17,231","18,355"
"대전광역시 서구 만년동(3017065000)","12,699","5,934","6,379","6,320"
"대전광역시 서구 둔산3동(3017066000)","19,677","7,937","9,501","10,176"
"대전광역시 유성구 (3020000000)","350,077","154,583","176,820","173,257"
"대전광역시 유성구 진잠동(3020052000)","24,988","11,212","12,798","12,190"
"대전광역시 유성구 학하동(3020052600)","17,028","7,574","8,788","8,240"
"대전광역시 유성구 상대동(3020052700)","21,981","8,050","10,719","11,262"
"대전광역시 유성구 온천1동(3020053000)","26,514","17,264","13,648","12,866"
"대전광역시 유성구 온천2동(3020054000)","39,777","19,833","20,681","19,096"
"대전광역시 유성구 노은1동(3020054600)","21,783","8,790","10,815","10,968"
"대전광역시 유성구 노은2동(3020054700)","24,312","9,453","11,947","12,365"
"대전광역시 유성구 노은3동(3020054800)","37,272","14,097","18,268","19,004"
"대전광역시 유성구 신성동(3020055000)","25,996","11,827","13,618","12,378"
"대전광역시 유성구 전민동(3020057000)","26,927","11,398","13,801","13,126"
"대전광역시 유성구 구즉동(3020058000)","27,223","11,800","13,930","13,293"
"대전광역시 유성구 관평동(3020060000)","28,665","10,697","14,644","14,021"
"대전광역시 유성구 원신흥동(3020061000)","27,611","12,588","13,163","14,448"
"대전광역시 대덕구 (3023000000)","174,151","79,187","88,443","85,708"
"대전광역시 대덕구 오정동(3023051000)","14,390","7,558","7,613","6,777"
"대전광역시 대덕구 대화동(3023052000)","6,828","3,430","3,580","3,248"
"대전광역시 대덕구 회덕동(3023052500)","12,196","5,608","6,188","6,008"
"대전광역시 대덕구 비래동(3023053300)","16,131","6,953","8,025","8,106"
"대전광역시 대덕구 송촌동(3023054300)","27,075","10,342","13,336","13,739"
"대전광역시 대덕구 중리동(3023054600)","19,450","10,232","10,087","9,363"
"대전광역시 대덕구 신탄진동(3023055000)","12,753","6,114","6,599","6,154"
"대전광역시 대덕구 석봉동(3023056000)","16,263","6,452","8,325","7,938"
"대전광역시 대덕구 덕암동(3023057000)","13,635","6,522","7,244","6,391"
"대전광역시 대덕구 목상동(3023058000)","6,443","3,160","3,490","2,953"
"대전광역시 대덕구 법1동(3023060000)","13,047","5,964","6,163","6,884"
"대전광역시 대덕구 법2동(3023061000)","15,940","6,852","7,793","8,147"
"울산광역시  (3100000000)","1,117,766","479,281","573,865","543,901"
"울산광역시 중구 (3111000000)","212,096","92,933","107,239","104,857"
"울산광역시 중구 학성동(3111051000)","11,150","5,795","5,676","5,474"
"울산광역시 중구 반구1동(3111052000)","16,708","7,759","8,660","8,048"
"울산광역시 중구 반구2동(3111053000)","8,622","4,280","4,367","4,255"
"울산광역시 중구 복산1동(3111054000)","4,351","2,013","2,189","2,162"
"울산광역시 중구 복산2동(3111055000)","11,191","4,759","5,573","5,618"
"울산광역시 중구 중앙동(3111058500)","12,502","6,926","6,428","6,074"
